
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
     13000        52        0.76    0.0540
     14000        56        0.76    0.0670
     15000        60        0.76    0.0830
     16000        64        0.76    0.1010
     17000        71        0.76    0.1120
     18000        75        0.77    0.1320
     19000        79        0.78    0.1550
     20000        84        0.78    0.1810
     21000        88        0.79    0.2090
     22000        92        0.79    0.2400
     23000       101        0.80    0.2490
     24000       105        0.80    0.2830
     25000       109        0.81    0.3210
     26000       114        0.81    0.3620
     27000       118        0.82    0.4070
     28000       123        0.82    0.4570
     29000       127        0.82    0.5110
     30000       131        0.83    0.5730
     31000       136        0.83    0.6400
     32000       146        0.83    0.6300
     33000       151        0.83    0.7020
 


           ========== 55x65E ==========

       RPM       VMPH       EFF      HP
      6000        40        0.89    0.0050
      7000        46        0.89    0.0080
      8000        53        0.89    0.0120
      9000        59        0.88    0.0180
     10000        66        0.88    0.0250
     11000        72        0.88    0.0330
     12000        79        0.88    0.0420
     13000        86        0.88    0.0530
     13999        93        0.88    0.0660
     15000        99        0.88    0.0810
     16000       106        0.89    0.0980
     17000       113        0.89    0.1180
     18000       119        0.89    0.1400
     19000       126        0.89    0.1650
     20000       133        0.90    0.1920
     21000       140        0.90    0.2210
     22000       147        0.90    0.2540
     23000       153        0.90    0.2900
     26000       173        0.91    0.4270
     26999       181        0.91    0.4770
     28000       187        0.91    0.5390
 


           ========== 57x3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.71    0.0000
      2000         6        0.71    0.0000
      3000         9        0.71    0.0000
      4000        12        0.71    0.0010
      5000        15        0.71    0.0020
      6000        18        0.71    0.0030
      7000        21        0.71    0.0050
      8000        24        0.71    0.0070
      9000        27        0.71    0.0100
     10000        30        0.71    0.0140
     11000        33        0.71    0.0190
     12000        36        0.71    0.0240
     13000        38        0.71    0.0310
     13999        42        0.71    0.0390
     15000        45        0.71    0.0480
     16000        48        0.72    0.0580
     17000        51        0.72    0.0690
     18000        56        0.73    0.0740
     19000        59        0.74    0.0860
     20000        62        0.74    0.1000
     21000        65        0.75    0.1150
     22000        69        0.76    0.1320
     23000        72        0.76    0.1500
     24000        75        0.77    0.1700
     25000        78        0.77    0.1930
     26000        81        0.78    0.2180
     26999        84        0.78    0.2450
     28000        87        0.78    0.2750
     29000        90        0.79    0.3070
     30000        93        0.79    0.3430
     31000        97        0.79    0.3820
     32000       100        0.79    0.4270
     33000       103        0.79    0.4780
     34000       106        0.79    0.5350
     35000       108        0.76    0.6430
     36000       107        0.74    0.8140
     38000       113        0.70    1.0890
     39000       115        0.67    1.2410
 


           ========== 5x3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.72    0.0000
      2000         5        0.72    0.0000
      3000         8        0.72    0.0000
      4000        11        0.72    0.0010
      5000        14        0.72    0.0010
      6000        17        0.72    0.0020
      7000        20        0.72    0.0030
      8000        23        0.72    0.0050
      9000        26        0.72    0.0070
     10000        29        0.72    0.0100
     11000        32        0.72    0.0130
     12000        35        0.72    0.0170
     13000        38        0.72    0.0220
     13999        41        0.72    0.0280
     15000        44        0.72    0.0340
     16000        47        0.72    0.0420
     17000        50        0.72    0.0500
     18000        53        0.72    0.0590
     19000        56        0.73    0.0690
     20000        59        0.74    0.0800
     21000        62        0.74    0.0920
     22000        65        0.75    0.1060
     23000        68        0.75    0.1200
     24000        71        0.76    0.1370
     25000        74        0.76    0.1540
     26000        76        0.76    0.1730
     26999        79        0.77    0.1940
     28000        82        0.77    0.2160
     29000        85        0.77    0.2410
     30000        88        0.78    0.2680
     31000        91        0.78    0.2970
     32000        94        0.78    0.3290
     33000        97        0.78    0.3630
     34000       100        0.79    0.4000
     35000       103        0.79    0.4400
     36000       106        0.79    0.4850
     37000       114        0.79    0.4820
     38000       117        0.79    0.5350
     39000       120        0.78    0.5960
     41000       121        0.74    0.8720
     42000       124        0.72    0.9950
     44000       135        0.68    1.1690
 


           ========== 5x37E-3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.63    0.0000
      2000         6        0.63    0.0000
      3000         9        0.63    0.0010
      4000        13        0.63    0.0010
      5000        17        0.63    0.0030
      6000        19        0.63    0.0050
      7000        22        0.63    0.0080
      8000        25        0.63    0.0120
      9000        28        0.63    0.0170
     10000        32        0.63    0.0240
     11000        35        0.63    0.0320
     12000        38        0.63    0.0410
     13000        41        0.63    0.0530
     14000        44        0.63    0.0660
     15000        47        0.63    0.0810
     16000        53        0.64    0.0890
     17000        59        0.68    0.0920
     18000        60        0.70    0.1180
     19000        63        0.70    0.1390
     20000        67        0.70    0.1620
     21000        70        0.71    0.1870
     22000        74        0.71    0.2160
     23000        77        0.71    0.2470
     24000        80        0.71    0.2820
     25000        84        0.71    0.3200
     26000        87        0.71    0.3620
     27000        91        0.71    0.4060
     28000        94        0.71    0.4550
     29000        97        0.71    0.5090
     30000       101        0.71    0.5650
     31000       104        0.71    0.6270
     32000       108        0.72    0.6920
     33000       111        0.74    0.7500
     34000       120        0.75    0.7410
     35000       123        0.76    0.8050
 


           ========== 5x3E ==========

       RPM       VMPH       EFF      HP
      1000         3        0.73    0.0000
      2000         6        0.73    0.0000
      3000         9        0.73    0.0000
      4000        12        0.73    0.0000
      5000        15        0.73    0.0010
      6000        18        0.73    0.0020
      7000        21        0.73    0.0030
      8000        24        0.73    0.0040
      9000        27        0.73    0.0060
     10000        30        0.73    0.0080
     11000        33        0.73    0.0100
     12000        36        0.73    0.0130
     13000        39        0.73    0.0170
     13999        42        0.73    0.0210
     15000        45        0.73    0.0260
     16000        48        0.73    0.0320
     17000        51        0.73    0.0380
     18000        54        0.73    0.0460
     19000        57        0.73    0.0540
     20000        60        0.73    0.0630
     21000        63        0.73    0.0730
     22000        66        0.74    0.0830
     23000        69        0.74    0.0950
     24000        72        0.75    0.1070
     25000        75        0.75    0.1210
     26000        78        0.76    0.1360
     26999        81        0.76    0.1520
     28000        84        0.77    0.1690
     29000        87        0.77    0.1880
     30000        90        0.78    0.2090
     31000        94        0.78    0.2310
     32000        97        0.78    0.2540
     33000       100        0.79    0.2800
     34000       103        0.79    0.3080
     35000       106        0.79    0.3390
     36000       109        0.80    0.3720
     37000       112        0.80    0.4110
     38000       115        0.79    0.4540
     39000       113        0.78    0.5730
     40000       120        0.76    0.6020
     44000       132        0.72    0.8900
     45000       127        0.70    1.1050
 


           ========== 5x43E ==========

       RPM       VMPH       EFF      HP
      6000        26        0.80    0.0030
      7000        31        0.80    0.0060
      8000        35        0.80    0.0080
      9000        40        0.80    0.0120
     10000        44        0.80    0.0160
     11000        48        0.80    0.0220
     12000        53        0.80    0.0280
     13000        57        0.80    0.0360
     14000        62        0.81    0.0440
     15000        66        0.81    0.0530
     16000        71        0.82    0.0640
     17000        75        0.82    0.0760
     18000        80        0.83    0.0900
     19000        84        0.83    0.1050
     20000        89        0.83    0.1220
     21000        93        0.84    0.1410
     22000        97        0.84    0.1630
     23000       102        0.84    0.1860
     24000       106        0.85    0.2110
     25000       111        0.85    0.2380
     26000       115        0.85    0.2690
     27000       120        0.85    0.3010
     28000       125        0.86    0.3340
     29000       134        0.86    0.3130
     30000       139        0.86    0.3470
     31000       144        0.86    0.3830
     32000       149        0.87    0.4230
     33000       153        0.87    0.4750
     34000       157        0.87    0.5210
     35000       162        0.87    0.5700
     36000       167        0.87    0.6290
     37000       171        0.87    0.6920
     38000       175        0.87    0.7790
     39000       173        0.86    1.0060
     40000       177        0.86    1.1050
     41000       189        0.85    1.0520
     42000       194        0.82    1.1950
     43000       190        0.81    1.6600
     44000       193        0.80    1.8000
     45000       196        0.79    2.0210
 


           ========== 5x45E ==========

       RPM       VMPH       EFF      HP
      5000        23        0.81    0.0020
      6000        27        0.81    0.0040
      7000        32        0.81    0.0060
      8000        36        0.81    0.0080
      9000        41        0.81    0.0120
     10000        45        0.81    0.0170
     11000        49        0.81    0.0220
     12000        54        0.81    0.0290
     13000        58        0.81    0.0360
     14000        63        0.82    0.0450
     15000        68        0.82    0.0550
     16000        72        0.83    0.0660
     17000        77        0.83    0.0780
     18000        81        0.83    0.0920
     19000        86        0.84    0.1080
     20000        91        0.84    0.1250
     21000        95        0.84    0.1450
     22000       100        0.85    0.1670
     23000       104        0.85    0.1910
     24000       109        0.85    0.2160
     25000       113        0.85    0.2450
     26000       118        0.86    0.2760
     27000       123        0.86    0.3090
     28000       132        0.86    0.2900
     29000       137        0.86    0.3220
     30000       142        0.87    0.3580
     31000       147        0.87    0.3980
     32000       151        0.87    0.4400
     33000       156        0.87    0.4890
     34000       161        0.87    0.5360
     35000       166        0.88    0.5910
     36000       170        0.88    0.6580
     37000       174        0.87    0.7310
     38000       179        0.87    0.8050
     39000       176        0.87    1.0410
     40000       181        0.86    1.1470
     41000       193        0.85    1.0880
     42000       198        0.83    1.2170
     43000       185        0.81    1.9200
     44000       197        0.81    1.8550
     45000       200        0.80    2.0460
 


           ========== 5x46E ==========

       RPM       VMPH       EFF      HP
      5000        23        0.80    0.0020
      6000        27        0.80    0.0040
      7000        31        0.80    0.0060
      8000        36        0.80    0.0090
      9000        40        0.80    0.0130
     10000        45        0.80    0.0180
     11000        49        0.80    0.0230
     12000        54        0.80    0.0300
     13000        58        0.81    0.0380
     14000        63        0.81    0.0470
     15000        67        0.82    0.0570
     16000        72        0.82    0.0690
     17000        77        0.83    0.0820
     18000        81        0.83    0.0960
     19000        86        0.84    0.1130
     20000        90        0.84    0.1320
     21000        95        0.84    0.1530
     22000        99        0.84    0.1750
     23000       104        0.85    0.2010
     24000       109        0.85    0.2280
     25000       118        0.85    0.2170
     26000       123        0.85    0.2440
     27000       127        0.86    0.2720
     28000       132        0.86    0.3020
     29000       137        0.86    0.3380
     30000       142        0.86    0.3740
     31000       147        0.87    0.4140
     32000       151        0.87    0.4630
     33000       156        0.87    0.5120
     34000       160        0.87    0.5660
     35000       165        0.88    0.6160
     36000       170        0.88    0.6850
     37000       174        0.88    0.7600
     38000       179        0.87    0.8380
     39000       177        0.86    1.0750
     40000       181        0.86    1.2050
     41000       194        0.83    1.1440
     42000       198        0.82    1.2870
     43000       186        0.80    2.0320
     44000       204        0.80    1.7140
     45000       193        0.79    2.4080
 


           ========== 5x4E-3 ==========

       RPM       VMPH       EFF      HP
      5000        19        0.73    0.0030
      6000        23        0.73    0.0050
      7000        26        0.72    0.0090
      8000        29        0.72    0.0130
      9000        33        0.72    0.0190
     10000        37        0.72    0.0260
     11000        41        0.72    0.0340
     12000        44        0.72    0.0440
     13000        48        0.73    0.0560
     14000        52        0.73    0.0690
     15000        56        0.74    0.0850
     16000        59        0.74    0.1020
     17000        63        0.75    0.1220
     18000        67        0.75    0.1430
     19000        71        0.76    0.1680
     20000        75        0.76    0.1940
     21000        78        0.76    0.2240
     22000        82        0.77    0.2580
     23000        90        0.77    0.2660
     24000        94        0.77    0.3030
     25000        98        0.77    0.3420
     26000       102        0.78    0.3850
     27000       106        0.78    0.4320
     28000       110        0.78    0.4840
     29000       114        0.78    0.5410
     30000       118        0.78    0.6000
     31000       122        0.79    0.6630
     32000       126        0.79    0.7320
     33000       130        0.79    0.8050
     34000       134        0.79    0.8820
     35000       138        0.79    0.9790
     36000       142        0.80    1.0740
     37000       146        0.79    1.1870
     38000       150        0.79    1.3010
     39000       154        0.79    1.4520
     40000       158        0.77    1.6170
     41000       163        0.74    1.7970
     42000       159        0.73    2.2400
     43000       170        0.72    2.2850
     44000       166        0.72    2.7140
     45000       176        0.70    2.7930
 


           ========== 5x4E-4 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.62    0.0000
      2000         7        0.63    0.0000
      3000        10        0.63    0.0010
      4000        13        0.63    0.0020
      5000        18        0.64    0.0040
      6000        21        0.63    0.0060
      7000        25        0.63    0.0100
      8000        28        0.63    0.0150
      9000        32        0.63    0.0210
     10000        35        0.63    0.0290
     11000        39        0.63    0.0390
     12000        42        0.63    0.0500
     13000        46        0.63    0.0640
     14000        49        0.63    0.0800
     15000        53        0.63    0.0980
     16000        56        0.63    0.1190
     17000        60        0.65    0.1380
     18000        66        0.68    0.1440
     19000        70        0.69    0.1680
     20000        71        0.70    0.2120
     21000        74        0.70    0.2460
     22000        78        0.70    0.2840
     23000        82        0.70    0.3250
     24000        85        0.70    0.3710
     25000        89        0.71    0.4190
     26000        93        0.71    0.4740
     27000        96        0.71    0.5330
     28000       100        0.71    0.5980
     29000       104        0.71    0.6680
     30000       107        0.71    0.7450
     31000       111        0.71    0.8280
     32000       114        0.71    0.9180
     33000       118        0.71    1.0100
     34000       122        0.72    1.1010
     35000       131        0.73    1.0900
     36000       135        0.74    1.1810
     37000       138        0.74    1.3150
 


           ========== 5x4R-RH ==========

       RPM       VMPH       EFF      HP
      1000         2        0.60    0.0000
      2000         4        0.60    0.0000
      3000         7        0.60    0.0000
      4000         9        0.60    0.0010
      5000        12        0.60    0.0010
      6000        14        0.60    0.0020
      7000        17        0.60    0.0030
      8000        19        0.60    0.0040
      9000        21        0.60    0.0060
     10000        24        0.60    0.0090
     11000        26        0.60    0.0120
     12000        29        0.60    0.0150
     13000        31        0.60    0.0190
     14000        33        0.60    0.0240
     15000        36        0.60    0.0300
     16000        38        0.60    0.0360
     17000        41        0.60    0.0430
     18000        43        0.63    0.0500
     19000        46        0.64    0.0580
     20000        48        0.64    0.0670
     21000        51        0.64    0.0780
     22000        53        0.64    0.0900
     23000        55        0.64    0.1030
     24000        58        0.64    0.1180
     25000        60        0.63    0.1340
     26000        63        0.63    0.1520
     27000        65        0.63    0.1710
     28000        68        0.63    0.1920
     29000        70        0.64    0.2120
     30000        73        0.64    0.2370
     31000        75        0.64    0.2650
     32000        77        0.63    0.2950
     33000        80        0.64    0.3200
     34000        86        0.64    0.3220
     35000        89        0.66    0.3450
     36000        91        0.67    0.3760
     37000        94        0.67    0.4120
     38000        97        0.67    0.4510
     39000        99        0.67    0.4930
     40000       102        0.67    0.5460
     41000       107        0.66    0.5610
     42000       102        0.63    0.7540
 


           ========== 5x5E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.84    0.0000
      2000        10        0.84    0.0000
      3000        15        0.84    0.0000
      4000        20        0.84    0.0010
      5000        25        0.84    0.0010
      6000        30        0.84    0.0020
      7000        35        0.84    0.0040
      8000        40        0.84    0.0060
      9000        45        0.84    0.0080
     10000        50        0.84    0.0110
     11000        55        0.84    0.0150
     12000        61        0.84    0.0190
     13000        66        0.84    0.0250
     13999        71        0.85    0.0310
     15000        76        0.85    0.0380
     16000        81        0.85    0.0470
     17000        86        0.85    0.0560
     18000        91        0.85    0.0670
     19000        96        0.85    0.0790
     20000       101        0.85    0.0920
     21000       106        0.85    0.1070
     22000       111        0.86    0.1220
     23000       116        0.86    0.1400
     24000       121        0.86    0.1590
     25000       127        0.87    0.1800
     26000       132        0.87    0.2020
     26999       137        0.87    0.2270
     28000       142        0.87    0.2540
     29000       147        0.88    0.2830
     30000       152        0.88    0.3160
     31000       157        0.88    0.3500
     32000       162        0.88    0.3890
     33000       167        0.89    0.4310
     34000       172        0.89    0.4780
     35000       177        0.89    0.5290
     36000       182        0.89    0.5870
     37000       187        0.89    0.6540
     38000       192        0.88    0.7470
     39000       198        0.86    0.8490
     40000       195        0.85    1.1500
 


           ========== 5x5F ==========

       RPM       VMPH       EFF      HP
      1000         4        0.83    0.0000
      2000         9        0.83    0.0000
      3000        13        0.83    0.0000
      4000        18        0.83    0.0010
      5000        22        0.83    0.0010
      6000        27        0.83    0.0020
      7000        32        0.83    0.0040
      8000        36        0.83    0.0050
      9000        41        0.83    0.0080
     10000        45        0.83    0.0110
     11000        50        0.83    0.0140
     12000        55        0.83    0.0190
     13000        59        0.83    0.0240
     13999        64        0.83    0.0300
     15000        68        0.83    0.0370
     16000        73        0.83    0.0450
     17000        77        0.83    0.0540
     18000        82        0.83    0.0640
     19000        87        0.83    0.0760
     20000        91        0.83    0.0890
     21000       100        0.83    0.0910
     22000       105        0.84    0.1050
     23000       110        0.84    0.1200
     24000       114        0.84    0.1360
     25000       119        0.85    0.1540
     26000       124        0.85    0.1740
     26999       129        0.85    0.1960
     28000       133        0.86    0.2200
     29000       138        0.86    0.2450
     30000       143        0.86    0.2740
     31000       148        0.87    0.3050
     32000       153        0.87    0.3390
     33000       157        0.87    0.3760
     34000       162        0.88    0.4170
     35000       167        0.88    0.4630
     36000       171        0.88    0.5160
     37000       183        0.88    0.4870
     38000       188        0.88    0.5480
 


           ========== 5x75E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.78    0.0000
      2000        12        0.78    0.0000
      3000        18        0.78    0.0010
      4000        24        0.78    0.0030
      5000        30        0.78    0.0050
      6000        36        0.78    0.0090
      7000        42        0.78    0.0140
      8000        48        0.78    0.0200
      9000        54        0.78    0.0290
     10000        60        0.78    0.0400
     11000        66        0.78    0.0530
     12000        72        0.78    0.0690
     13000        79        0.78    0.0880
     14000        89        0.78    0.1020
     15000        95        0.78    0.1260
     16000        97        0.78    0.1660
     17000       113        0.81    0.1640
     18000       125        0.82    0.1710
     19000       132        0.83    0.2010
     20000       133        0.84    0.2640
     21000       140        0.84    0.3070
     22000       153        0.84    0.3130
     23000       153        0.84    0.4060
     24000       160        0.84    0.4650
     25000       166        0.85    0.5280
     26000       173        0.85    0.5990
     27000       180        0.85    0.6770
     28000       186        0.85    0.7630
     29000       193        0.85    0.8580
     30000       200        0.85    0.9630
     31000       206        0.85    1.0790
     32000       213        0.85    1.2090
     33000       229        0.85    1.2050
     34000       226        0.85    1.5110
 


           ========== 63x4 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.74    0.0000
      2000         7        0.74    0.0000
      3000        11        0.74    0.0010
      4000        14        0.74    0.0020
      5000        18        0.74    0.0040
      6000        22        0.74    0.0060
      7000        25        0.74    0.0100
      8000        29        0.74    0.0150
      9000        33        0.74    0.0220
     10000        36        0.74    0.0300
     11000        42        0.74    0.0360
     12000        46        0.75    0.0460
     13000        49        0.75    0.0580
     13999        53        0.76    0.0720
     15000        57        0.77    0.0880
     16000        61        0.78    0.1060
     17000        65        0.78    0.1260
     18000        69        0.79    0.1490
     19000        73        0.79    0.1750
     20000        76        0.80    0.2050
     21000        80        0.80    0.2380
     22000        84        0.81    0.2740
     23000        88        0.81    0.3140
     24000        92        0.81    0.3580
     25000        95        0.82    0.4080
     26000        99        0.82    0.4620
     26999       103        0.82    0.5240
     28000       107        0.82    0.5930
     29000       110        0.82    0.6710
     30000       114        0.82    0.7540
     31000       117        0.81    0.8580
     32000       121        0.79    1.0250
     33000       125        0.77    1.1860
     34000       129        0.74    1.4440
     35000       127        0.71    1.8820
     37000       141        0.66    2.0500
 


           ========== 65x29 ==========

       RPM       VMPH       EFF      HP
      2000         6        0.67    0.0000
      3000         9        0.68    0.0010
      4000        12        0.68    0.0010
      5000        15        0.68    0.0020
      6000        18        0.68    0.0040
      7000        21        0.68    0.0070
      8000        24        0.68    0.0100
      9000        27        0.68    0.0140
     10000        30        0.68    0.0200
     11000        33        0.68    0.0260
     12000        36        0.68    0.0340
     13000        39        0.68    0.0440
     13999        42        0.68    0.0550
     15000        45        0.68    0.0670
     16000        48        0.69    0.0810
     17000        51        0.70    0.0960
     18000        54        0.70    0.1130
     19000        57        0.71    0.1320
     20000        60        0.72    0.1540
     21000        63        0.73    0.1770
     22000        66        0.73    0.2040
     23000        69        0.74    0.2330
     24000        72        0.75    0.2640
     25000        75        0.75    0.3010
     26000        78        0.76    0.3410
     26999        84        0.76    0.3490
     28000        88        0.76    0.3940
     29000        91        0.77    0.4460
     30000        94        0.77    0.5090
     31000        97        0.74    0.6240
     32000        96        0.72    0.8220
     33000        99        0.70    0.9230
     34000        97        0.67    1.1610
     35000       104        0.64    1.2140
 


           ========== 65x37 ==========

       RPM       VMPH       EFF      HP
      2000         7        0.74    0.0000
      3000        11        0.75    0.0010
      4000        14        0.75    0.0020
      5000        18        0.75    0.0030
      6000        22        0.75    0.0060
      7000        25        0.75    0.0090
      8000        29        0.75    0.0140
      9000        33        0.75    0.0200
     10000        36        0.75    0.0280
     11000        42        0.75    0.0330
     12000        46        0.75    0.0430
     13000        50        0.75    0.0560
     13999        53        0.75    0.0700
     15000        57        0.75    0.0860
     16000        61        0.76    0.1030
     17000        65        0.77    0.1230
     18000        69        0.77    0.1450
     19000        73        0.78    0.1710
     20000        77        0.79    0.1980
     21000        80        0.79    0.2300
     22000        84        0.80    0.2640
     23000        88        0.80    0.3020
     24000        92        0.81    0.3450
     25000        96        0.81    0.3920
     26000       100        0.82    0.4460
     26999       103        0.82    0.5050
     28000       107        0.82    0.5720
     29000       111        0.82    0.6490
     30000       114        0.82    0.7480
     31000       123        0.79    0.8040
     32000       122        0.76    1.0830
     33000       126        0.76    1.2000
     34000       129        0.72    1.4770
 


           ========== 65x50 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.81    0.0000
      2000        10        0.81    0.0000
      3000        15        0.81    0.0010
      4000        20        0.81    0.0020
      5000        25        0.81    0.0050
      6000        30        0.81    0.0080
      7000        35        0.81    0.0130
      8000        40        0.81    0.0200
      9000        45        0.81    0.0280
     10000        50        0.81    0.0380
     11000        55        0.81    0.0510
     12000        60        0.81    0.0670
     13000        65        0.81    0.0850
     13999        70        0.81    0.1070
     15000        75        0.82    0.1310
     16000        84        0.83    0.1390
     17000        89        0.83    0.1660
     18000        94        0.84    0.1980
     19000        99        0.84    0.2330
     20000       105        0.85    0.2720
     21000       110        0.85    0.3150
     22000       115        0.86    0.3650
     23000       121        0.86    0.4180
     24000       126        0.86    0.4800
     25000       131        0.87    0.5490
     26000       136        0.87    0.6280
     26999       141        0.87    0.7170
     28000       147        0.87    0.8260
     29000       152        0.85    0.9990
     30000       155        0.82    1.2870
     31000       163        0.81    1.4020
     32000       167        0.78    1.6790
     33000       164        0.76    2.1360
     34000       168        0.73    2.4560
     35000       172        0.71    2.6360
 


           ========== 65x55 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.83    0.0000
      2000        10        0.83    0.0000
      3000        16        0.83    0.0010
      4000        21        0.83    0.0030
      5000        27        0.83    0.0050
      6000        32        0.83    0.0090
      7000        38        0.83    0.0150
      8000        43        0.83    0.0220
      9000        48        0.83    0.0310
     10000        54        0.83    0.0430
     11000        59        0.83    0.0580
     12000        65        0.83    0.0750
     13000        73        0.83    0.0850
     13999        79        0.83    0.1050
     15000        85        0.84    0.1290
     16000        90        0.84    0.1570
     17000        96        0.85    0.1880
     18000       102        0.85    0.2240
     19000       107        0.86    0.2640
     20000       113        0.86    0.3090
     21000       119        0.87    0.3590
     22000       124        0.87    0.4140
     23000       130        0.87    0.4760
     24000       136        0.88    0.5470
     25000       141        0.88    0.6270
     26000       147        0.88    0.7180
     26999       152        0.88    0.8220
     28000       158        0.88    0.9520
     29000       171        0.86    0.9740
     30000       177        0.83    1.2200
     33000       176        0.77    2.4090
     34000       182        0.74    2.7480
 


           ========== 65x60 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.85    0.0000
      2000        11        0.85    0.0000
      3000        17        0.85    0.0010
      4000        23        0.85    0.0030
      5000        29        0.85    0.0060
      6000        34        0.85    0.0100
      7000        40        0.85    0.0160
      8000        46        0.85    0.0250
      9000        52        0.85    0.0350
     10000        58        0.85    0.0480
     11000        63        0.85    0.0650
     12000        69        0.85    0.0840
     13000        75        0.85    0.1080
     13999        84        0.85    0.1180
     15000        91        0.86    0.1440
     16000        97        0.86    0.1750
     17000       103        0.86    0.2110
     18000       109        0.87    0.2510
     19000       115        0.87    0.2960
     20000       121        0.88    0.3460
     21000       127        0.88    0.4030
     22000       133        0.88    0.4660
     23000       139        0.89    0.5370
     24000       145        0.89    0.6180
     25000       151        0.89    0.7080
     26000       157        0.89    0.8130
     26999       163        0.89    0.9330
     29000       175        0.87    1.2950
 


           ========== 65x65 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.86    0.0000
      2000        12        0.86    0.0000
      3000        18        0.86    0.0010
      4000        24        0.86    0.0030
      5000        31        0.86    0.0070
      6000        37        0.86    0.0120
      7000        43        0.86    0.0180
      8000        49        0.86    0.0270
      9000        55        0.86    0.0390
     10000        62        0.86    0.0540
     11000        68        0.86    0.0720
     12000        74        0.86    0.0940
     13000        80        0.86    0.1200
     13999        87        0.86    0.1490
     15000        93        0.87    0.1840
     16000        99        0.87    0.2230
     17000       110        0.87    0.2360
     18000       116        0.88    0.2810
     19000       123        0.88    0.3310
     20000       129        0.88    0.3890
     21000       136        0.89    0.4520
     22000       142        0.89    0.5240
     24000       155        0.89    0.6950
     25000       161        0.89    0.8010
     26000       168        0.90    0.9200
     26999       174        0.90    1.0630
     33000       212        0.78    2.7900
     34000       208        0.77    3.3420
 


           ========== 6x2 ==========

       RPM       VMPH       EFF      HP
      1000         2        0.62    0.0000
      2000         4        0.62    0.0000
      3000         7        0.62    0.0000
      4000         9        0.62    0.0010
      5000        12        0.62    0.0010
      6000        14        0.62    0.0020
      7000        16        0.62    0.0040
      8000        19        0.62    0.0060
      9000        21        0.62    0.0080
     10000        24        0.62    0.0110
     11000        26        0.62    0.0150
     12000        28        0.62    0.0190
     13000        31        0.62    0.0240
     13999        33        0.62    0.0300
     15000        36        0.62    0.0370
     16000        38        0.62    0.0460
     17000        40        0.62    0.0550
     18000        43        0.63    0.0650
     19000        45        0.64    0.0750
     20000        48        0.64    0.0870
     21000        50        0.65    0.1000
     22000        52        0.66    0.1150
     23000        55        0.66    0.1310
     24000        57        0.67    0.1490
     25000        60        0.68    0.1670
     26000        62        0.68    0.1880
     26999        64        0.69    0.2100
     28000        67        0.70    0.2350
     29000        69        0.70    0.2630
     30000        71        0.71    0.2940
     31000        74        0.71    0.3300
     32000        76        0.70    0.3810
     33000        78        0.68    0.4490
     34000        81        0.64    0.5570
     35000        83        0.62    0.6360
     36000        85        0.57    0.7970
     37000        83        0.54    0.9440
     38000        80        0.51    1.1220
 


           ========== 6x3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.72    0.0000
      2000         6        0.72    0.0000
      3000         9        0.72    0.0000
      4000        13        0.72    0.0010
      5000        16        0.72    0.0020
      6000        19        0.72    0.0040
      7000        22        0.72    0.0060
      8000        26        0.72    0.0090
      9000        29        0.72    0.0130
     10000        32        0.72    0.0180
     11000        35        0.72    0.0240
     12000        38        0.72    0.0310
     13000        42        0.72    0.0400
     13999        45        0.72    0.0500
     15000        48        0.72    0.0610
     16000        51        0.72    0.0750
     17000        55        0.73    0.0890
     18000        58        0.73    0.1060
     19000        61        0.74    0.1240
     20000        64        0.74    0.1440
     21000        68        0.75    0.1670
     22000        71        0.76    0.1910
     23000        74        0.76    0.2190
     24000        77        0.77    0.2490
     25000        81        0.77    0.2810
     26000        84        0.78    0.3170
     26999        87        0.78    0.3560
     28000        90        0.79    0.4010
     29000        94        0.79    0.4520
     30000        97        0.79    0.5110
     31000       104        0.78    0.5350
     32000       107        0.77    0.6280
     33000       106        0.71    0.8900
     34000       109        0.70    1.0220
     35000       112        0.67    1.2050
     36000       110        0.64    1.4670
     37000       118        0.60    1.5380
     38000       115        0.58    1.8180
 


           ========== 6x3F ==========

       RPM       VMPH       EFF      HP
      1000         3        0.75    0.0000
      2000         7        0.75    0.0000
      3000        11        0.75    0.0010
      4000        15        0.75    0.0010
      5000        18        0.75    0.0020
      6000        22        0.75    0.0040
      7000        26        0.75    0.0070
      8000        29        0.75    0.0100
